index,x_m,y_m
0,-0.000148,-0.000177
1,0.012371,-0.000186
2,0.024891,-0.000195
3,0.037411,-0.000204
4,0.049930,-0.000213
5,0.062450,-0.000222
6,0.074969,-0.000231
7,0.087488,-0.000239
8,0.100007,-0.000248
9,0.112526,-0.000256
10,0.125045,-0.000265
11,0.137564,-0.000273
12,0.150082,-0.000281
13,0.162600,-0.000289
14,0.175118,-0.000296
15,0.187635,-0.000304
16,0.200153,-0.000311
17,0.212670,-0.000318
18,0.225186,-0.000325
19,0.237702,-0.000331
20,0.250218,-0.000337
21,0.262734,-0.000343
22,0.275249,-0.000349
23,0.287764,-0.000354
24,0.300278,-0.000359
25,0.312792,-0.000364
26,0.325305,-0.000368
27,0.337818,-0.000372
28,0.350331,-0.000376
29,0.362842,-0.000379
30,0.375354,-0.000382
31,0.387865,-0.000384
32,0.400375,-0.000386
33,0.412885,-0.000388
34,0.425394,-0.000389
35,0.437903,-0.000390
36,0.450411,-0.000390
37,0.462919,-0.000390
38,0.475426,-0.000389
39,0.487932,-0.000389
40,0.500438,-0.000387
41,0.512943,-0.000385
42,0.525448,-0.000383
43,0.537952,-0.000380
44,0.550455,-0.000377
45,0.562958,-0.000373
46,0.575460,-0.000369
47,0.587961,-0.000365
48,0.600462,-0.000360
49,0.612963,-0.000354
50,0.625462,-0.000348
51,0.637961,-0.000342
52,0.650460,-0.000335
53,0.662958,-0.000328
54,0.675455,-0.000320
55,0.687952,-0.000311
56,0.700448,-0.000303
57,0.712943,-0.000294
58,0.725438,-0.000284
59,0.737932,-0.000274
60,0.750426,-0.000264
61,0.762919,-0.000253
62,0.775412,-0.000242
63,0.787904,-0.000230
64,0.800396,-0.000218
65,0.812887,-0.000205
66,0.825377,-0.000193
67,0.837867,-0.000179
68,0.850357,-0.000166
69,0.862846,-0.000152
70,0.875335,-0.000138
71,0.887823,-0.000123
72,0.900311,-0.000108
73,0.912798,-0.000093
74,0.925285,-0.000077
75,0.937771,-0.000062
76,0.950258,-0.000045
77,0.962743,-0.000029
78,0.975229,-0.000012
79,0.987714,0.000004
80,1.000199,0.000021
81,1.000185,0.012533
82,1.000171,0.025045
83,1.000157,0.037557
84,1.000143,0.050070
85,1.000128,0.062582
86,1.000113,0.075095
87,1.000098,0.087608
88,1.000083,0.100121
89,1.000068,0.112634
90,1.000052,0.125147
91,1.000037,0.137660
92,1.000021,0.150173
93,1.000006,0.162686
94,0.999990,0.175200
95,0.999974,0.187713
96,0.999959,0.200226
97,0.999943,0.212739
98,0.999928,0.225253
99,0.999912,0.237766
100,0.999897,0.250279
101,0.999881,0.262792
102,0.999866,0.275305
103,0.999851,0.287818
104,0.999836,0.300330
105,0.999821,0.312843
106,0.999807,0.325355
107,0.999792,0.337868
108,0.999778,0.350380
109,0.999765,0.362892
110,0.999751,0.375403
111,0.999738,0.387915
112,0.999725,0.400426
113,0.999712,0.412937
114,0.999700,0.425448
115,0.999688,0.437958
116,0.999676,0.450468
117,0.999665,0.462978
118,0.999654,0.475488
119,0.999644,0.487997
120,0.999634,0.500506
121,0.999624,0.513015
122,0.999615,0.525523
123,0.999607,0.525538
124,0.999599,0.550539
125,0.999591,0.563046
126,0.999584,0.575553
127,0.999577,0.588060
128,0.999571,0.600566
129,0.999565,0.613071
130,0.999560,0.625577
131,0.999556,0.638082
132,0.999552,0.650586
133,0.999548,0.663090
134,0.999546,0.675594
135,0.999543,0.688097
136,0.999542,0.700600
137,0.999540,0.713102
138,0.999540,0.725604
139,0.999540,0.738106
140,0.999540,0.750607
141,0.999542,0.763108
142,0.999543,0.775608
143,0.999546,0.788108
144,0.999549,0.800607
145,0.999552,0.813106
146,0.999556,0.825604
147,0.999561,0.838102
148,0.999566,0.850600
149,0.999572,0.863097
150,0.999579,0.875594
151,0.999586,0.888090
152,0.999593,0.900586
153,0.999601,0.913081
154,0.999610,0.925576
155,0.999619,0.938071
156,0.999629,0.950565
157,0.999639,0.963059
158,0.999650,0.975552
159,0.999661,0.988045
160,0.999673,1.000538
161,0.987181,1.000526
162,0.974691,1.000513
163,0.962200,1.000501
164,0.949710,1.000487
165,0.937220,1.000474
166,0.924731,1.000460
167,0.912243,1.000446
168,0.899754,1.000432
169,0.887266,1.000417
170,0.874779,1.000402
171,0.862292,1.000386
172,0.849805,1.000371
173,0.837318,1.000355
174,0.824832,1.000339
175,0.812346,1.000323
176,0.799861,1.000306
177,0.787375,1.000290
178,0.774890,1.000273
179,0.762406,1.000256
180,0.749921,1.000238
181,0.737437,1.000221
182,0.724952,1.000203
183,0.712468,1.000186
184,0.699984,1.000168
185,0.687501,1.000150
186,0.675017,1.000132
187,0.662534,1.000114
188,0.650050,1.000096
189,0.637567,1.000078
190,0.625083,1.000060
191,0.612600,1.000042
192,0.600117,1.000023
193,0.587633,1.000005
194,0.575150,0.999987
195,0.562666,0.999969
196,0.550183,0.999951
197,0.537699,0.999933
198,0.525215,0.999915
199,0.512732,0.999897
200,0.500248,0.999880
201,0.487764,0.999862
202,0.475279,0.999845
203,0.462795,0.999827
204,0.450310,0.999810
205,0.437825,0.999793
206,0.425340,0.999776
207,0.412854,0.999760
208,0.400369,0.999743
209,0.387882,0.999727
210,0.375396,0.999711
211,0.362909,0.999696
212,0.350422,0.999680
213,0.337935,0.999665
214,0.325447,0.999650
215,0.312959,0.999636
216,0.300471,0.999621
217,0.287982,0.999607
218,0.275492,0.999594
219,0.263003,0.999580
220,0.250512,0.999567
221,0.238022,0.999555
222,0.225531,0.999542
223,0.213039,0.999530
224,0.200547,0.999519
225,0.188054,0.999508
226,0.175561,0.999497
227,0.163068,0.999486
228,0.150573,0.999476
229,0.138079,0.999466
230,0.125584,0.999457
231,0.113088,0.999448
232,0.100592,0.999440
233,0.088095,0.999432
234,0.075597,0.999424
235,0.063099,0.999417
236,0.050601,0.999410
237,0.038102,0.999404
238,0.025602,0.999398
239,0.013102,0.999392
240,0.000601,0.999387
241,0.000598,0.986888
242,0.000595,0.974389
243,0.000591,0.961891
244,0.000586,0.949393
245,0.000581,0.949389
246,0.000575,0.936892
247,0.000568,0.924395
248,0.000561,0.899405
249,0.000554,0.886909
250,0.000546,0.874414
251,0.000537,0.861919
252,0.000528,0.849424
253,0.000518,0.836930
254,0.000508,0.824436
255,0.000497,0.811943
256,0.000486,0.799450
257,0.000475,0.786957
258,0.000462,0.774465
259,0.000450,0.761973
260,0.000437,0.749481
261,0.000423,0.736990
262,0.000409,0.724499
263,0.000395,0.712008
264,0.000380,0.699518
265,0.000364,0.687028
266,0.000349,0.674538
267,0.000333,0.662049
268,0.000316,0.649560
269,0.000300,0.637071
270,0.000282,0.624582
271,0.000265,0.612094
