timestamp,run,b_eff_used,error_cm,suggested_b_eff,error_pct,note
run-1-run1,run1,0.08000,46.35,0.09760,22.00,yaml-update
run-2-run1,run1,0.09760,18.54,0.11268,15.45,yaml-update
run-3-run1,run1,0.11268,7.66,0.12169,8.00,yaml-update
run-4-run1,run1,0.12169,3.11,0.13143,8.00,yaml-update
run-5-run1,run1,0.13143,1.24,0.14194,8.00,yaml-update
run-6-run1,run1,0.14194,0.51,0.23000,62.04,final-adopted
run-7-run2,run2,0.08000,49.57,0.09760,22.00,yaml-update
run-8-run2,run2,0.09760,19.81,0.11371,16.51,yaml-update
run-9-run2,run2,0.11371,7.91,0.12281,8.00,yaml-update
run-10-run2,run2,0.12281,3.15,0.13264,8.00,yaml-update
run-11-run2,run2,0.13264,1.31,0.14325,8.00,yaml-update
run-12-run2,run2,0.14325,0.57,0.23000,60.56,final-adopted
run-13-run3,run3,0.08000,54.80,0.09760,22.00,yaml-update
run-14-run3,run3,0.09760,21.92,0.11543,18.27,yaml-update
run-15-run3,run3,0.11543,8.77,0.12467,8.00,yaml-update
run-16-run3,run3,0.12467,3.51,0.13464,8.00,yaml-update
run-17-run3,run3,0.13464,1.41,0.23000,70.83,final-adopted
